day,week,average,maxTemperature, minTemperature,weather,windDirection,windSpeed
2020-01-01,星期三,11.5,18,5,晴转多云,西南风,3级
2020-01-02,星期四,12.0,19,5,晴转多云,西风,3级
2020-01-03,星期五,12.5,19,6,多云,西南风,2级
2020-01-04,星期六,12.0,16,8,多云转雨,西南风,3级
2020-01-05,星期日,12.0,16,8,小雨到中雨,西南风,3级
2020-01-06,星期一,11.5,16,7,多云转晴,西南风,4级
2020-01-07,星期二,10.0,18,2,晴,西南风,2级
2020-01-08,星期三,11.5,19,4,晴,西南风,3级
2020-01-09,星期四,11.0,18,4,晴,西南风,3级
2020-01-10,星期五,11.5,19,4,晴,西南风,3级
2020-01-11,星期六,10.5,18,3,晴,西风,3级
2020-01-12,星期日,11.0,18,4,晴,西南风,2级
2020-01-13,星期一,10.5,18,3,晴,西南风,3级
2020-01-14,星期二,11.5,19,4,晴,西南风,3级
2020-01-15,星期三,11.5,19,4,晴,西南风,3级
2020-01-16,星期四,12.0,20,4,晴,西南风,2级
2020-01-17,星期五,12.0,20,4,晴,西南风,3级
2020-01-18,星期六,12.5,21,4,晴,西南风,3级
2020-01-19,星期日,12.0,20,4,晴,西南风,3级
2020-01-20,星期一,12.5,20,5,晴,西南风,3级
2020-01-21,星期二,12.0,20,4,晴,西南风,4级
2020-01-22,星期三,13.0,20,6,晴,西风,4级
2020-01-23,星期四,12.0,20,4,晴,西南风,3级
2020-01-24,星期五,10.5,18,3,阴转雨,西南风,3级
2020-01-25,星期六,3.0,5,1,多云,东风,2级
2020-01-26,星期日,5.0,10,0,多云转晴,南风,2级
2020-01-27,星期一,7.0,12,2,多云,西南风,2级
2020-01-28,星期二,9.0,14,4,小雨转雨,南风,2级
2020-01-29,星期三,7.0,11,3,多云转雨,东南风,2级
2020-01-30,星期四,6.0,10,2,多云,南风,3级
2020-01-31,星期五,9.0,14,4,多云转晴,西南风,3级
2020-02-01,星期六,11.0,17,5,多云转晴,西南风,3级
2020-02-02,星期日,11.0,18,4,多云,西南风,3级
2020-02-03,星期一,11.5,18,5,晴转多云,西南风,3级
2020-02-04,星期二,10.5,18,3,晴,西南风,2级
2020-02-05,星期三,11.5,18,5,晴,西南风,3级
2020-02-06,星期四,12.5,19,6,晴,西风,4级
2020-02-07,星期五,11.0,20,2,多云转晴,西南风,3级
