day,week,average,maxTemperature, minTemperature,weather,windDirection,windSpeed
2021-01-01,星期五,11.5,18,5,晴,西南风,3级
2021-01-02,星期六,11.0,18,4,晴,西南风,3级
2021-01-03,星期日,12.0,19,5,晴,西南风,2级
2021-01-04,星期一,13.0,20,6,晴,西南风,2级
2021-01-05,星期二,14.5,22,7,晴,西南风,2级
2021-01-06,星期三,14.0,21,7,晴,西南风,3级
2021-01-07,星期四,11.0,20,2,多云,西南风,3级
2021-01-08,星期五,2.5,3,2,多云,东风,2级
2021-01-09,星期六,7.5,11,4,阴,南风,2级
2021-01-10,星期日,3.0,6,0,阴,东南风,2级
2021-01-11,星期一,-0.5,0,-1,阴,东风,3级
2021-01-12,星期二,3.5,7,0,阴,东南风,2级
2021-01-13,星期三,8.5,14,3,晴,西风,2级
2021-01-14,星期四,8.0,14,2,晴,西风,2级
2021-01-15,星期五,9.5,15,4,晴,西南风,2级
2021-01-16,星期六,6.5,14,-1,多云,南风,2级
2021-01-17,星期日,1.5,3,0,阴,东风,3级
2021-01-18,星期一,7.0,12,2,晴,西风,2级
2021-01-19,星期二,11.0,17,5,多云,西南风,3级
2021-01-20,星期三,9.0,13,5,阴,西南风,3级
2021-01-21,星期四,10.5,16,5,阴,西南风,3级
2021-01-22,星期五,11.0,17,5,晴,西风,2级
2021-01-23,星期六,10.5,15,6,晴,西南风,3级
2021-01-24,星期日,17.0,22,12,阴,东南风,2级
2021-01-25,星期一,12.5,20,5,晴,西南风,2级
2021-01-26,星期二,12.5,20,5,晴,西南风,3级
2021-01-27,星期三,11.5,20,3,阴,西南风,3级
2021-01-28,星期四,8.5,12,5,多云,东南风,2级
2021-01-29,星期五,12.0,19,5,晴,西南风,3级
2021-01-30,星期六,12.0,18,6,晴,西南风,3级
2021-01-31,星期日,11.5,17,6,晴,西南风,3级
2021-02-01,星期一,12.0,18,6,晴,西南风,3级
2021-02-02,星期二,11.0,16,6,晴,西南风,3级
2021-02-03,星期三,12.5,19,6,晴,西南风,3级
2021-02-04,星期四,13.0,20,6,晴,西南风,3级
2021-02-05,星期五,13.0,20,6,晴,西南风,2级
2021-02-06,星期六,13.5,20,7,晴,西南风,3级
2021-02-07,星期日,10.0,14,6,阴,西南风,2级
2021-02-08,星期一,6.5,9,4,阴,东风,2级
2021-02-09,星期二,5.0,7,3,多云,东风,2级
2021-02-10,星期三,8.5,13,4,晴,西南风,2级
2021-02-11,星期四,11.0,18,4,晴,西南风,2级
2021-02-12,星期五,12.0,19,5,晴,西南风,2级
2021-02-13,星期六,13.0,20,6,晴,西南风,3级
2021-02-14,星期日,12.5,20,5,晴,西南风,2级
2021-02-15,星期一,13.5,21,6,晴,西南风,3级
2021-02-16,星期二,13.0,20,6,阴,西南风,2级
2021-02-17,星期三,11.0,15,7,晴,东风,2级
2021-02-18,星期四,13.0,19,7,多云,南风,2级
2021-02-19,星期五,14.0,20,8,多云,西南风,3级
2021-02-20,星期六,13.0,19,7,多云,西南风,3级
2021-02-21,星期日,13.5,18,9,晴,西南风,3级
2021-02-22,星期一,14.0,21,7,晴,西南风,2级
2021-02-23,星期二,14.0,21,7,晴,西南风,2级
2021-02-24,星期三,15.0,21,9,晴,西南风,4级
2021-02-25,星期四,15.0,20,10,晴,西风,4级
2021-02-26,星期五,15.5,20,11,晴,西南风,2级
2021-02-27,星期六,14.5,18,11,晴,西南风,3级
2021-02-28,星期日,16.0,20,12,晴,西南风,4级
2021-03-01,星期一,15.5,22,9,多云,西南风,3级
2021-03-02,星期二,15.5,21,10,晴,西南风,3级
2021-03-03,星期三,16.0,21,11,晴,西南风,3级
2021-03-04,星期四,15.0,21,9,晴,西南风,4级
2021-03-05,星期五,15.5,21,10,晴,西南风,4级
2021-03-06,星期六,14.5,20,9,晴,西风,4级
2021-03-07,星期日,15.0,20,10,晴,西南风,3级
2021-03-08,星期一,15.5,22,9,晴,西南风,3级
2021-03-09,星期二,15.0,20,10,晴,西南风,3级
2021-03-10,星期三,16.0,21,11,晴,西南风,4级
2021-03-11,星期四,16.5,23,10,晴,西南风,3级
2021-03-12,星期五,16.5,23,10,晴,西南风,3级
2021-03-13,星期六,15.5,22,9,晴,南风,2级
2021-03-14,星期日,16.5,24,9,晴,西南风,3级
2021-03-15,星期一,16.5,24,9,晴,西风,4级
2021-03-16,星期二,18.5,25,12,晴,西风,3级
2021-03-17,星期三,18.0,26,10,晴,西南风,3级
2021-03-18,星期四,18.0,26,10,晴,西风,3级
2021-03-19,星期五,18.5,26,11,晴,西风,3级
2021-03-20,星期六,18.5,26,11,晴,西南风,3级
2021-03-21,星期日,10.5,15,6,阴,东风,3级
2021-03-22,星期一,7.5,8,7,晴,东南风,3级
2021-03-23,星期二,15.5,22,9,晴,西南风,3级
2021-03-24,星期三,17.0,24,10,晴,西南风,3级
2021-03-25,星期四,17.0,23,11,晴,西南风,3级
2021-03-26,星期五,18.5,25,12,晴,西风,4级
2021-03-27,星期六,19.5,26,13,晴,西风,3级
2021-03-28,星期日,19.0,27,11,晴,西风,3级
2021-03-29,星期一,20.0,26,14,晴,西风,4级
2021-03-30,星期二,19.0,24,14,多云,西南风,4级
2021-03-31,星期三,19.0,23,15,晴,西风,4级
2021-04-01,星期四,19.0,23,15,晴,西风,4级
2021-04-02,星期五,18.5,23,14,晴,西南风,4级
2021-04-03,星期六,20.5,27,14,晴,西南风,3级
2021-04-04,星期日,16.5,21,12,阴,南风,3级
2021-04-05,星期一,13.5,16,11,阴,南风,3级
2021-04-06,星期二,11.5,12,11,阴,西南风,2级
2021-04-07,星期三,15.5,20,11,晴,西南风,2级
2021-04-08,星期四,17.0,22,12,晴,西南风,2级
2021-04-09,星期五,18.5,24,13,晴,西南风,3级
2021-04-10,星期六,19.5,25,14,晴,西南风,3级
2021-04-11,星期日,18.5,23,14,晴,西南风,4级
2021-04-12,星期一,19.0,26,12,晴,西南风,3级
2021-04-13,星期二,19.0,26,12,晴,西南风,3级
2021-04-14,星期三,19.5,26,13,晴,西南风,4级
