day,week,average,maxTemperature, minTemperature,weather,windDirection,windSpeed
2022-01-01,星期六,11.0,17,5,多云,西南风,1级
2022-01-02,星期日,10.5,17,4,晴,西南风,3级
2022-01-03,星期一,8.5,16,1,多云,西风,3级
2022-01-04,星期二,9.5,14,5,晴,西南风,2级
2022-01-05,星期三,11.0,18,4,晴,南风,2级
2022-01-06,星期四,16.5,22,11,多云,东风,2级
2022-01-07,星期五,10.0,15,5,晴,西风,2级
2022-01-08,星期六,11.5,18,5,晴,南风,2级
2022-01-09,星期日,12.0,13,11,多云,东北风,2级
2022-01-10,星期一,9.5,16,3,晴,西风,2级
2022-01-11,星期二,12.0,18,6,多云,西南风,2级
2022-01-12,星期三,11.5,18,5,多云,西南风,3级
2022-01-13,星期四,10.5,16,5,晴,西南风,3级
2022-01-14,星期五,11.5,17,6,多云,西南风,3级
2022-01-15,星期六,9.5,15,4,阴,西南风,2级
2022-01-16,星期日,6.0,9,3,小雨,东风,3级
2022-01-17,星期一,3.5,6,1,多云,西北风,1级
2022-01-18,星期二,8.5,17,0,多云,西南风,2级
2022-01-19,星期三,6.5,11,2,多云,西南风,2级
2022-01-20,星期四,8.5,12,5,小雨,南风,3级
2022-01-21,星期五,8.0,13,3,小雨,西南风,1级
2022-01-22,星期六,12.0,19,5,晴,西南风,3级
2022-01-23,星期日,9.5,15,4,晴,西南风,2级
2022-01-24,星期一,8.0,12,4,晴,西南风,3级
2022-01-25,星期二,8.5,12,5,多云,西风,3级
2022-01-26,星期三,8.5,12,5,晴,西南风,2级
2022-01-27,星期四,12.0,17,7,多云,西南风,2级
2022-01-28,星期五,11.5,18,5,多云,南风,1级
2022-01-29,星期六,8.5,14,3,晴,西风,4级
2022-01-30,星期日,5.0,10,0,多云,西南风,2级
2022-01-31,星期一,5.5,9,2,小雨,南风,2级
2022-02-01,星期二,10.0,14,6,雾,南风,2级
2022-02-02,星期三,9.0,14,4,多云,东南风,2级
2022-02-03,星期四,8.5,13,4,多云,南风,3级
2022-02-04,星期五,11.0,17,5,多云,南风,2级
2022-02-05,星期六,10.5,16,5,多云,西南风,3级
2022-02-06,星期日,8.0,13,3,中雨,西南风,3级
2022-02-07,星期一,9.5,15,4,晴,西南风,3级
2022-02-08,星期二,10.5,16,5,多云,南风,2级
2022-02-09,星期三,10.5,16,5,晴,西南风,4级
2022-02-10,星期四,12.0,18,6,多云,西南风,3级
2022-02-11,星期五,11.5,18,5,晴,西南风,4级
2022-02-12,星期六,11.0,18,4,多云,西南风,2级
2022-02-13,星期日,10.5,17,4,多云,南风,1级
2022-02-14,星期一,11.5,18,5,晴,南风,2级
2022-02-15,星期二,12.5,19,6,多云,西南风,2级
2022-02-16,星期三,12.5,19,6,晴,西南风,3级
2022-02-17,星期四,11.5,19,4,晴,南风,2级
2022-02-18,星期五,12.5,20,5,晴,南风,3级
2022-02-19,星期六,10.5,19,2,多云,西南风,1级
2022-02-20,星期日,1.5,2,1,多云,东风,4级
2022-02-21,星期一,1.0,2,0,雾,东风,2级
2022-02-22,星期二,1.0,3,-1,雨夹雪,东北风,2级
2022-02-23,星期三,5.5,8,3,阴,西南风,2级
2022-02-24,星期四,8.0,12,4,阴,西南风,1级
2022-02-25,星期五,11.5,18,5,阴,西南风,3级
2022-02-26,星期六,13.0,20,6,阴,西南风,2级
2022-02-27,星期日,13.0,20,6,阴,西南风,4级
2022-02-28,星期一,13.5,21,6,阴,西南风,3级
2022-03-01,星期二,14.5,22,7,晴,南风,2级
2022-03-02,星期三,13.0,19,7,晴,西风,4级
2022-03-03,星期四,13.5,20,7,晴,西风,1级
2022-03-04,星期五,21.0,26,16,多云,东南风,1级
2022-03-05,星期六,18.0,26,10,晴,南风,2级
2022-03-06,星期日,17.0,25,9,多云,南风,3级
2022-03-07,星期一,15.0,21,9,晴,东北风,3级
2022-03-08,星期二,15.5,23,8,晴,西风,3级
2022-03-09,星期三,17.0,24,10,晴,西风,3级
2022-03-10,星期四,18.5,25,12,晴,西南风,1级
2022-03-11,星期五,18.0,25,11,多云,西南风,2级
2022-03-12,星期六,18.5,26,11,晴,西南风,3级
2022-03-13,星期日,17.5,25,10,多云转晴,西风,2级
2022-03-14,星期一,25.5,29,22,多云,西北风,1级
2022-03-15,星期二,17.0,24,10,阴,西南风,3级
2022-03-16,星期三,15.5,22,9,晴,西风,4级
2022-03-17,星期四,19.5,26,13,多云,东北风,1级
2022-03-18,星期五,20.5,29,12,晴,西南风,2级
2022-03-19,星期六,18.5,25,12,晴,西南风,3级
2022-03-20,星期日,18.0,25,11,晴,西南风,2级
2022-03-21,星期一,18.0,25,11,多云,西风,3级
2022-03-22,星期二,20.0,26,14,多云,南风,2级
2022-03-23,星期三,15.5,21,10,小雨,南风,2级
2022-03-24,星期四,14.0,19,9,晴,西南风,4级
2022-03-25,星期五,19.5,23,16,多云,北风,2级
2022-03-26,星期六,20.0,24,16,阴,北风,1级
2022-03-27,星期日,17.5,21,14,阴,西北风,2级
2022-03-28,星期一,14.0,20,8,多云,西北风,2级
2022-03-29,星期二,18.5,20,17,小雨,东南风,1级
2022-03-30,星期三,17.5,23,12,多云,东南风,1级
2022-03-31,星期四,10.5,18,3,小雨,东北风,4级
2022-04-01,星期五,8.0,11,5,阴到小雨,北风,3级
2022-04-02,星期六,4.5,8,1,多云,东北风,1级
2022-04-03,星期日,9.0,15,3,晴,南风,3级
2022-04-04,星期一,13.0,19,7,多云,西南风,2级
2022-04-05,星期二,10.0,14,6,小雨,东风,3级
2022-04-06,星期三,7.5,11,4,小雨,东北风,2级
2022-04-07,星期四,11.5,17,6,晴,东南风,2级
2022-04-08,星期五,13.5,18,9,小雨,西南风,3级
2022-04-09,星期六,22.5,30,15,晴,南风,1级
2022-04-10,星期日,15.0,21,9,多云,西南风,2级
2022-04-11,星期一,14.5,20,9,多云,南风,2级
2022-04-12,星期二,14.5,18,11,多云,西南风,2级
2022-04-13,星期三,19.5,27,12,晴,西南风,3级
2022-04-14,星期四,17.5,23,12,多云,西南风,3级
2022-04-15,星期五,18.5,24,13,多云,西南风,1级
2022-04-16,星期六,17.0,23,11,晴,西南风,3级
2022-04-17,星期日,14.5,21,8,多云,南风,3级
2022-04-18,星期一,10.0,15,5,阴,东风,2级
2022-04-19,星期二,11.5,15,8,多云,南风,1级
2022-04-20,星期三,11.0,15,7,多云,南风,1级
2022-04-21,星期四,14.0,19,9,多云,西南风,3级
2022-04-22,星期五,14.5,20,9,晴,西南风,3级
2022-04-23,星期六,17.5,23,12,多云,西南风,3级
2022-04-24,星期日,17.5,24,11,晴,西风,2级
2022-04-25,星期一,19.0,26,12,晴,西南风,3级
2022-04-26,星期二,19.0,25,13,晴,西南风,2级
2022-04-27,星期三,23.0,31,15,晴,西风,3级
2022-04-28,星期四,20.5,28,13,晴,西风,3级
2022-04-29,星期五,17.0,28,6,晴,西南风,2级
2022-04-30,星期六,16.5,27,6,多云,西南风,4级
2022-05-01,星期日,12.0,19,5,多云,东北风,2级
2022-05-02,星期一,10.0,15,5,多云,东风,3级
2022-05-03,星期二,21.0,28,14,晴,北风,1级
2022-05-04,星期三,13.5,19,8,多云,西风,2级
2022-05-05,星期四,12.5,17,8,小雨,南风,2级
2022-05-06,星期五,15.0,21,9,多云,西风,3级
2022-05-07,星期六,17.5,23,12,多云,南风,2级
2022-05-08,星期日,18.0,24,12,小雨到中雨,西南风,3级
2022-05-09,星期一,18.0,25,11,小雨到中雨,西南风,2级
2022-05-10,星期二,22.5,27,18,多云,西南风,3级
2022-05-11,星期三,21.5,28,15,多云,东北风,4级
2022-05-12,星期四,16.0,21,11,多云,南风,1级
2022-05-13,星期五,19.0,24,14,小雨,东北风,2级
2022-05-14,星期六,17.0,21,13,中雨到大雨,北风,1级
2022-05-15,星期日,13.0,16,10,小雨,东风,2级
2022-05-16,星期一,10.5,15,6,多云,东南风,2级
2022-05-17,星期二,13.5,19,8,多云,南风,2级
2022-05-18,星期三,16.0,21,11,多云,西南风,3级
2022-05-19,星期四,22.5,28,17,多云,北风,3级
2022-05-20,星期五,17.5,22,13,多云,北风,3级
2022-05-21,星期六,16.5,18,15,中雨到大雨,东南风,1级
2022-05-22,星期日,14.0,17,11,阴,东风,1级
2022-05-23,星期一,14.0,17,11,多云,东风,1级
2022-05-24,星期二,19.0,22,16,多云,东风,2级
2022-05-25,星期三,25.5,27,24,阴,东风,1级
2022-05-26,星期四,27.0,30,24,阴到小雨,西南风,2级
2022-05-27,星期五,20.5,23,18,多云,南风,1级
2022-05-28,星期六,27.5,31,24,多云,东风,1级
2022-05-29,星期日,22.0,27,17,晴,南风,1级
2022-05-30,星期一,19.5,23,16,多云,东风,2级
2022-05-31,星期二,20.0,23,17,多云,南风,2级
2022-06-01,星期三,22.5,25,20,多云,西南风,3级
2022-06-02,星期四,18.5,22,15,多云,西南风,2级
2022-06-03,星期五,19.5,24,15,多云,西南风,3级
2022-06-04,星期六,19.5,24,15,多云,西南风,3级
